id,domain,capability,priority,status,owner,current_evidence,required_closure
GW-01,"Gateway and protocol","Anthropic Messages HTTP and SSE",P0,partial,Gateway,"Native JSON/SSE headers token count usage terminal and cancellation tests pass","Add current Platform database settlement and controlled Provider/runtime evidence"
GW-02,"Gateway and protocol","OpenAI Chat Completions HTTP and SSE",P0,partial,Gateway,"JSON/SSE terminal media timer error replay and late-usage tests pass","Reprove current full-stack financial paths after greenfield schema repair"
GW-03,"Gateway and protocol","OpenAI Responses lifecycle",P0,partial,"Gateway + Platform","Root compact read input-items cancel and delete routes plus mock contracts exist","Complete lifecycle semantics and current empty-stack mutation/fault matrix"
GW-04,"Gateway and protocol","Gemini generateContent and streamGenerateContent",P0,partial,Gateway,"Native key isolation catalogue count JSON/SSE usage and terminal tests pass","Add current Platform database settlement and controlled Provider/runtime evidence"
GW-05,"Gateway and protocol","Cross-protocol conversion and upstream error policy",P0,partial,Gateway,"Pairwise text error finish-reason and tool-call response conversion exists","Cover multimodal candidates identifiers tool results and explicit safe error exposure rewrite monitoring policy"
GW-06,"Gateway and protocol","Models catalogue and token counting",P1,partial,"Gateway + Platform","OpenAI/Gemini catalogue shape and Anthropic token-count validation exist","Add authoritative provider refresh and versioned tokenizer behavior"
GW-07,"Gateway and protocol","Embeddings",P0,partial,"Gateway + Platform","Bounded float/base64 inputs responses Jina/Gemini profiles and mock pricing exist","Add production provider adapters and tokenizer fixtures"
GW-08,"Gateway and protocol","Image generation sync async and batch",P0,partial,"Gateway + Platform","Durable media/items S3 signing repair retention and tests exist","Align HTTP and RPC body limits then rerun empty-stack partition and contention lifecycle"
GW-09,"Gateway and protocol","Video generation and lifecycle",P1,partial,"Gateway + Platform","Create edit extend control polling and object metadata routes exist","Complete cancel delete restore provider-fault and specialized-settlement E2E"
GW-10,"Gateway and protocol","Explicit ScalaAPI Realtime and Live WebSocket subsets",P0,partial,"Gateway + Platform","A route subset and model parsing are tested but frames bypass policy query and trusted-proxy handling","Name each supported protocol and apply bounded policy identity attestation and multi-instance runtime evidence"
GW-11,"Gateway and protocol","Dispatch leases failover and durable usage outbox",P0,partial,"Gateway + Platform","Lease hold idempotency failover and SQLite outbox exist; forwarded is fail-closed","Durably queue output-started and retain or incident every unacknowledged usage event before full crash recovery proof"
GW-12,"Gateway and protocol","Provider methods headers proxy and TLS",P0,partial,Gateway,"Bounded auth-header validation and authenticated proxy URL exist","Reject unknown method path and general headers; apply TLS fingerprint and prove rotation isolation"
GW-13,"Gateway and protocol","xAI and Grok provider integration",P0,partial,"Gateway + Platform","Identity and OpenAI-shaped scaffolding exist but Provider.Mock AuthenticateXai is never wired to a route","Implement and advertise only explicit native auth account OAuth quota media search and voice capabilities"
GW-14,"Gateway and protocol","Web Search and X Search",P1,blocked,"Gateway + Platform","Routes mock history status and price units exist but declared streaming is unreachable","Repair schema implement real adapters and reachable streaming then prove authorization privacy settlement"
GW-15,"Gateway and protocol","TTS STT and custom voices",P1,blocked,"Gateway + Platform","Routes validation mock voice/audio stores and price units exist","Repair schema and contract then prove bytes ownership storage and character/time settlement"
AUTH-01,Identity,"Registration password login and lockout",P0,partial,Platform,"Hashing counters lockout routes and unit tests exist","Run database concurrency anti-enumeration and browser evidence"
AUTH-02,Identity,"Refresh sessions logout and revocation",P0,partial,Platform,"Rotating hashed sessions logout revocation and listing exist","Prove multi-process database replay concurrency and browser behavior"
AUTH-03,Identity,"TOTP and backup codes",P1,partial,Platform,"PostgreSQL replay lockout backup-code service and UI exist","Prove database backup-code sign-in and browser recovery"
AUTH-04,Identity,"Passkeys and WebAuthn",P1,partial,Platform,"Challenges credentials counters audit and UI conversion exist","Run real authenticator ceremony and distributed abuse tests"
AUTH-05,Identity,"Password reset email verification and notification outbox",P1,partial,Platform,"Token state plus encrypted leased notification outbox exist","Add live SMTP TLS receipt expiry metrics and browser links"
AUTH-06,Identity,"OAuth login and account linking",P1,partial,Platform,"PKCE state exchange and source-mock paths exist","Define production redirect collision policy and prove browser callbacks"
AUTH-07,Identity,"Profile password sessions and deletion",P1,partial,Platform,"Profile password session revocation and soft-delete source exists","Prove key/session concurrency retention erasure and browser mutations"
AUTH-08,Identity,"Captcha domain policy and public abuse controls",P1,partial,Platform,"Captcha interface mock and email-domain quota store/tests exist","Add real provider profiles all-entry-point enforcement audits metrics and UX"
CORE-01,"Core control plane","User admin state and balance adjustments",P0,partial,Platform,"User/admin state and NUMERIC adjustment path exist","Run database role idempotency and browser matrix"
