id,domain,capability,priority,weight,legacy_evidence,target_evidence,status,readiness_score,p0_blocker,remaining_work
"GW-01","Gateway / protocol","Anthropic Messages HTTP and SSE","P0","3","sub2api/backend/internal/server/routes/gateway.go; provider services and stream tests","gateway/src/server/router.cpp:43; gateway/src/server/gateway_handler.cpp:80","Partial","0.60","yes","Add live upstream contract tests; preserve response headers and error bodies; prove disconnect and accounting behavior"
"GW-02","Gateway / protocol","OpenAI Chat Completions HTTP and SSE","P0","3","sub2api/backend/internal/server/routes/gateway.go; OpenAI-compatible services","gateway/src/server/router.cpp:47; gateway/src/server/gateway_handler.cpp:82","Partial","0.60","yes","Add live upstream compatibility suite; cover headers status codes streaming errors and tool payloads"
"GW-03","Gateway / protocol","OpenAI Responses API and subresources","P0","3","sub2api/backend/internal/server/routes/gateway.go includes Responses subpaths search and related routes","gateway/src/server/capability_registry.cpp routes POST /responses and guarded subpaths plus GET WebSocket; Platform preserves the validated suffix and query","Partial","0.60","yes","Complete compact/input-items response semantics and full event/error contracts; add live provider and WebSocket E2E"
"GW-04","Gateway / protocol","Gemini generateContent and streamGenerateContent","P0","3","sub2api/backend/internal/server/routes/gateway.go exposes Gemini model endpoints","gateway/src/server/capability_registry.cpp covers model list/detail and generate/stream paths; Platform preserves alt=sse and validated query parameters","Partial","0.60","yes","Complete Gemini response/tool/safety/error contracts and live provider tests"
"GW-05","Gateway / protocol","Cross-protocol request response and stream conversion","P0","3","Sub2API provider adapters normalize complete request and response flows","gateway/src/protocol/converter.cpp; gateway/src/forwarder/stream_pipe.cpp; gateway/test/unit/test_protocol.cpp cover response and SSE conversion","Partial","0.60","yes","Complete every protocol-pair mapping for tools reasoning stop reasons cache usage and malformed/error cases; add live provider contracts"
"GW-06","Gateway / protocol","Models catalog and token counting","P1","2","sub2api/backend/internal/server/routes/gateway.go and model services provide provider-aware models and token counting","gateway/src/server/capability_registry.cpp and gateway/src/server/gateway_handler.cpp dispatch provider-aware models/count_tokens routes; no authoritative tokenizer fallback yet","Skeleton","0.25","no","Use provider-native counting first, then a versioned tokenizer; complete model metadata, cache invalidation and compatibility errors"
"GW-07","Gateway / protocol","Embeddings","P0","3","sub2api/backend/internal/server/routes/gateway.go exposes embeddings","Gateway validates string/array input encoding_format dimensions user and model before capability-filtered dispatch; generic status/header/error/failover and structured token usage paths apply","Partial","0.60","yes","Add provider response golden fixtures and live OpenAI-compatible E2E; prove dimensions/base64 and provider-error compatibility"
"GW-08","Gateway / protocol","Image generation sync async and batch","P0","3","sub2api/backend/internal/server/routes/gateway.go plus image task services and tests","Gateway covers JSON/multipart sync/edit/async/task/batch routes and structured usage; Platform persists idempotent operations, polls providers, expires tasks, settles terminal usage, and supports authenticated local cancel/delete views","Partial","0.60","yes","Add upstream cancellation and complete batch item semantics; persist bytes in S3-compatible storage with controlled download; add multi-Gateway/provider E2E"
"GW-09","Gateway / protocol","Video generation lifecycle","P1","2","sub2api/backend/internal/server/routes/gateway.go plus video services","Gateway routes create/edit/extension/status/content and parses duration/resolution usage; Platform persists and polls provider tasks with terminal settlement, expiry, and authenticated task views","Partial","0.60","no","Add upstream cancellation and provider-specific task adapters; persist/proxy content through object storage; prove duration pricing and failover constraints E2E"
"GW-10","Gateway / protocol","Realtime WebSocket and calls","P0","3","sub2api/backend/internal/server/routes/gateway.go and realtime WebSocket tests","gateway/src/server/http_server.cpp accepts Photon WebSocket upgrades; gateway/src/server/gateway_handler.cpp bridges bidirectional frames and reports realtime usage; live provider/session E2E is missing","Partial","0.60","yes","Add provider subprotocol/header coverage, fragmentation/backpressure/timeout tests, session persistence and full Platform/Gateway failure/settlement E2E"
"GW-11","Gateway / protocol","API-key auth dispatch failover and durable usage lease","P0","3","Sub2API gateway key billing scheduler and failover services","gateway/src/server/gateway_handler.cpp:114; platform/src/Garnet.Host/CapnpRpcHostedService.cs; platform/src/Data/RequestLeaseStore.cs","Partial","0.60","yes","Add full-stack tests and close scheduler billing and protocol accuracy gaps before traffic promotion"
"GW-12","Gateway / protocol","Provider fidelity: methods headers status proxy and TLS fingerprint","P0","3","Sub2API providers implement proxy TLS fingerprints and provider-specific headers","gateway/src/forwarder/forwarder.cpp preserves method, allowlisted request/response headers, status, Retry-After, proxy and structured usage; TLS fingerprint profile execution and live proxy tests remain open","Partial","0.60","yes","Apply validated TLS fingerprint profiles, redact proxy credentials, expand provider header policy and prove error/header fidelity through live tests"
"AUTH-01","Authentication / identity","Email registration and login","P0","3","sub2api/backend/internal/server/routes/auth.go","platform/src/Admin.Api/Endpoints/UserAuthEndpoints.cs:25 and 49","Partial","0.60","yes","Match validation throttling verification policy API contracts and end-to-end tests"
"AUTH-02","Authentication / identity","Refresh logout and session revocation lifecycle","P0","3","sub2api/backend/internal/server/routes/auth.go includes refresh logout current sessions and revoke","No target endpoints or refresh-token store","Missing","0.00","yes","Implement rotating refresh tokens logout revoke-all/device sessions and replay protection"
"AUTH-03","Authentication / identity","TOTP lifecycle","P1","2","sub2api/backend/internal/server/routes/auth.go and user.go","platform/src/Admin.Api/Endpoints/UserAuthEndpoints.cs:140-190","Partial","0.60","no","Add recovery flow brute-force controls user UI and integration tests"
"AUTH-04","Authentication / identity","Passkeys / WebAuthn","P1","2","sub2api/backend/internal/server/routes/auth.go and user.go","No target passkey implementation","Missing","0.00","no","Implement registration authentication credential management and browser UI"
"AUTH-05","Authentication / identity","Email verification password reset and notification email","P1","2","sub2api/backend/internal/server/routes/auth.go and user.go","Generic SMTP send exists at platform/src/Admin.Api/Endpoints/PlatformEndpoints.cs:706 but no lifecycle","Missing","0.00","no","Implement signed expiring tokens abuse controls templates and self-service flows"
